pair_id,source_cell,stratum,cluster_size,fuzzy_score,match_method
69,cluster_only,cluster_size_le5,4.0,100.0,exact
70,cluster_only,cluster_size_gt5,62.0,100.0,exact
71,fuzzy_only,score_82_90,,82.75862068965517,fuzzy
72,cluster_only,cluster_size_le5,5.0,100.0,exact
73,fuzzy_only,score_90_100,,98.18181818181819,fuzzy
74,fuzzy_only,score_82_90,,88.0,fuzzy
75,cluster_only,cluster_size_gt5,6.0,100.0,exact
76,fuzzy_only,score_82_90,,86.95652173913044,fuzzy
77,agreement,agreement,,97.2972972972973,fuzzy
78,fuzzy_only,score_90_100,,92.3076923076923,fuzzy
79,fuzzy_only,score_82_90,,83.33333333333334,fuzzy
80,fuzzy_only,score_82_90,,87.2340425531915,fuzzy
81,agreement,agreement,,95.0,fuzzy
82,fuzzy_only,score_82_90,,85.24590163934427,fuzzy
83,cluster_only,cluster_size_le5,2.0,100.0,exact
84,cluster_only,cluster_size_gt5,71.0,100.0,exact
85,cluster_only,cluster_size_le5,4.0,100.0,exact
86,fuzzy_only,score_82_90,,86.20689655172413,fuzzy
87,fuzzy_only,score_90_100,,90.32258064516128,fuzzy
88,fuzzy_only,score_90_100,,94.44444444444444,fuzzy
89,cluster_only,cluster_size_gt5,19.0,100.0,exact
90,fuzzy_only,score_90_100,,90.625,fuzzy
91,agreement,agreement,,82.75862068965517,fuzzy
92,agreement,agreement,,98.36065573770492,fuzzy
93,agreement,agreement,,97.95918367346938,fuzzy
94,agreement,agreement,,97.5609756097561,fuzzy
95,agreement,agreement,,96.42857142857143,fuzzy
96,cluster_only,cluster_size_gt5,8.0,100.0,exact
97,agreement,agreement,,98.30508474576271,fuzzy
98,fuzzy_only,score_82_90,,86.95652173913044,fuzzy
99,cluster_only,cluster_size_gt5,17.0,100.0,exact
100,fuzzy_only,score_90_100,,94.11764705882352,fuzzy
101,fuzzy_only,score_82_90,,87.17948717948718,fuzzy
102,fuzzy_only,score_82_90,,89.23076923076923,fuzzy
103,fuzzy_only,score_90_100,,90.9090909090909,fuzzy
104,cluster_only,cluster_size_le5,2.0,100.0,exact
105,fuzzy_only,score_82_90,,84.61538461538461,fuzzy
106,agreement,agreement,,98.41269841269842,fuzzy
107,fuzzy_only,score_90_100,,94.73684210526316,fuzzy
108,cluster_only,cluster_size_le5,2.0,100.0,exact
109,fuzzy_only,score_82_90,,83.33333333333334,fuzzy
110,fuzzy_only,score_90_100,,96.0,fuzzy
111,agreement,agreement,,94.73684210526316,fuzzy
112,cluster_only,cluster_size_gt5,6.0,100.0,exact
113,cluster_only,cluster_size_le5,3.0,100.0,exact
114,cluster_only,cluster_size_gt5,7.0,100.0,exact
115,fuzzy_only,score_90_100,,98.0392156862745,fuzzy
116,agreement,agreement,,90.9090909090909,fuzzy
117,agreement,agreement,,95.08196721311475,fuzzy
118,fuzzy_only,score_82_90,,85.71428571428572,fuzzy
119,agreement,agreement,,100.0,fuzzy
120,fuzzy_only,score_90_100,,92.85714285714286,fuzzy
121,fuzzy_only,score_90_100,,91.35802469135803,fuzzy
122,cluster_only,cluster_size_le5,3.0,100.0,exact
123,cluster_only,cluster_size_gt5,7.0,100.0,exact
124,fuzzy_only,score_82_90,,88.09523809523809,fuzzy
125,fuzzy_only,score_82_90,,84.7457627118644,fuzzy
126,cluster_only,cluster_size_le5,2.0,100.0,exact
127,cluster_only,cluster_size_le5,2.0,100.0,exact
128,fuzzy_only,score_82_90,,85.71428571428572,fuzzy
129,agreement,agreement,,96.1038961038961,fuzzy
130,fuzzy_only,score_82_90,,89.79591836734694,fuzzy
131,cluster_only,cluster_size_le5,4.0,100.0,exact
132,fuzzy_only,score_90_100,,90.0,fuzzy
133,agreement,agreement,,91.89189189189189,fuzzy
134,cluster_only,cluster_size_gt5,7.0,100.0,exact
135,cluster_only,cluster_size_le5,2.0,100.0,exact
136,agreement,agreement,,97.2972972972973,fuzzy
137,cluster_only,cluster_size_le5,2.0,100.0,exact
138,agreement,agreement,,92.13483146067416,fuzzy
139,fuzzy_only,score_90_100,,93.33333333333333,fuzzy
140,agreement,agreement,,88.23529411764706,fuzzy
141,fuzzy_only,score_90_100,,92.3076923076923,fuzzy
142,cluster_only,cluster_size_le5,3.0,100.0,exact
143,fuzzy_only,score_90_100,,91.22807017543859,fuzzy
144,fuzzy_only,score_82_90,,83.87096774193549,fuzzy
145,fuzzy_only,score_90_100,,96.96969696969697,fuzzy
146,fuzzy_only,score_90_100,,90.0,fuzzy
147,cluster_only,cluster_size_gt5,14.0,100.0,exact
148,cluster_only,cluster_size_gt5,28.0,100.0,exact
149,fuzzy_only,score_82_90,,84.61538461538461,fuzzy
150,cluster_only,cluster_size_le5,4.0,100.0,exact
151,fuzzy_only,score_82_90,,85.71428571428572,fuzzy
152,agreement,agreement,,96.2962962962963,fuzzy
153,cluster_only,cluster_size_le5,3.0,100.0,exact
154,agreement,agreement,,93.75,fuzzy
155,fuzzy_only,score_90_100,,91.89189189189189,fuzzy
156,cluster_only,cluster_size_le5,2.0,100.0,exact
157,agreement,agreement,,94.28571428571428,fuzzy
158,cluster_only,cluster_size_gt5,51.0,100.0,exact
159,cluster_only,cluster_size_le5,2.0,100.0,exact
160,fuzzy_only,score_82_90,,84.21052631578947,fuzzy
161,agreement,agreement,,91.42857142857143,fuzzy
162,cluster_only,cluster_size_gt5,24.0,100.0,exact
163,agreement,agreement,,92.5925925925926,fuzzy
164,fuzzy_only,score_82_90,,85.24590163934427,fuzzy
165,cluster_only,cluster_size_le5,1.0,100.0,exact
166,cluster_only,cluster_size_le5,5.0,100.0,exact
167,agreement,agreement,,93.97590361445783,fuzzy
168,fuzzy_only,score_90_100,,91.89189189189189,fuzzy
169,cluster_only,cluster_size_le5,3.0,100.0,exact
170,agreement,agreement,,86.95652173913044,fuzzy
171,fuzzy_only,score_90_100,,90.9090909090909,fuzzy
172,fuzzy_only,score_82_90,,85.71428571428572,fuzzy
173,fuzzy_only,score_90_100,,98.18181818181819,fuzzy
174,cluster_only,cluster_size_gt5,17.0,100.0,exact
175,cluster_only,cluster_size_le5,1.0,100.0,exact
176,cluster_only,cluster_size_gt5,6.0,100.0,exact
177,agreement,agreement,,87.61904761904762,fuzzy
178,cluster_only,cluster_size_le5,4.0,100.0,exact
179,fuzzy_only,score_82_90,,82.35294117647058,fuzzy
180,agreement,agreement,,86.15384615384616,fuzzy
181,cluster_only,cluster_size_gt5,8.0,100.0,exact
182,agreement,agreement,,92.3076923076923,fuzzy
183,cluster_only,cluster_size_le5,3.0,100.0,exact
184,fuzzy_only,score_90_100,,90.0,fuzzy
185,fuzzy_only,score_82_90,,84.61538461538461,fuzzy
186,fuzzy_only,score_82_90,,84.84848484848484,fuzzy
187,cluster_only,cluster_size_gt5,143.0,100.0,exact
188,cluster_only,cluster_size_gt5,102.0,100.0,exact
189,fuzzy_only,score_82_90,,88.09523809523809,fuzzy
190,agreement,agreement,,98.0392156862745,fuzzy
191,agreement,agreement,,97.43589743589743,fuzzy
192,fuzzy_only,score_82_90,,82.66666666666667,fuzzy
193,cluster_only,cluster_size_gt5,22.0,100.0,exact
194,fuzzy_only,score_90_100,,92.5925925925926,fuzzy
195,agreement,agreement,,97.77777777777777,fuzzy
196,cluster_only,cluster_size_le5,5.0,100.0,exact
197,fuzzy_only,score_82_90,,86.41975308641976,fuzzy
198,cluster_only,cluster_size_gt5,7.0,100.0,exact
199,fuzzy_only,score_90_100,,93.75,fuzzy
200,cluster_only,cluster_size_gt5,14.0,100.0,exact
201,cluster_only,cluster_size_gt5,18.0,100.0,exact
202,fuzzy_only,score_82_90,,89.79591836734694,fuzzy
203,fuzzy_only,score_82_90,,84.44444444444444,fuzzy
204,fuzzy_only,score_90_100,,90.0,fuzzy
205,fuzzy_only,score_82_90,,83.87096774193549,fuzzy
206,cluster_only,cluster_size_gt5,20.0,100.0,exact
207,cluster_only,cluster_size_le5,3.0,100.0,exact
208,cluster_only,cluster_size_gt5,33.0,100.0,exact
209,cluster_only,cluster_size_le5,2.0,100.0,exact
210,cluster_only,cluster_size_gt5,8.0,100.0,exact
211,cluster_only,cluster_size_gt5,9.0,100.0,exact
212,cluster_only,cluster_size_gt5,57.0,100.0,exact
213,cluster_only,cluster_size_le5,4.0,100.0,exact
214,fuzzy_only,score_82_90,,84.21052631578947,fuzzy
215,agreement,agreement,,93.10344827586206,fuzzy
216,fuzzy_only,score_82_90,,84.21052631578947,fuzzy
217,agreement,agreement,,93.61702127659575,fuzzy
218,fuzzy_only,score_82_90,,84.21052631578947,fuzzy
219,cluster_only,cluster_size_gt5,112.0,100.0,exact
220,cluster_only,cluster_size_le5,1.0,100.0,exact
221,cluster_only,cluster_size_gt5,47.0,100.0,exact
222,cluster_only,cluster_size_le5,3.0,100.0,exact
223,cluster_only,cluster_size_le5,2.0,100.0,exact
224,fuzzy_only,score_90_100,,95.65217391304348,fuzzy
225,agreement,agreement,,88.52459016393442,fuzzy
226,cluster_only,cluster_size_le5,4.0,100.0,exact
227,cluster_only,cluster_size_gt5,39.0,100.0,exact
228,agreement,agreement,,98.9010989010989,fuzzy
229,fuzzy_only,score_82_90,,88.23529411764706,fuzzy
230,fuzzy_only,score_90_100,,90.9090909090909,fuzzy
231,fuzzy_only,score_90_100,,95.65217391304348,fuzzy
232,cluster_only,cluster_size_le5,5.0,100.0,exact
233,fuzzy_only,score_90_100,,92.6829268292683,fuzzy
234,fuzzy_only,score_82_90,,82.1917808219178,fuzzy
235,fuzzy_only,score_90_100,,94.11764705882352,fuzzy
236,fuzzy_only,score_82_90,,83.63636363636364,fuzzy
237,cluster_only,cluster_size_gt5,7.0,100.0,exact
238,fuzzy_only,score_82_90,,82.6086956521739,fuzzy
239,cluster_only,cluster_size_gt5,107.0,100.0,exact
240,cluster_only,cluster_size_gt5,14.0,100.0,exact
241,fuzzy_only,score_90_100,,90.0,fuzzy
242,cluster_only,cluster_size_gt5,11.0,100.0,exact
243,agreement,agreement,,98.50746268656717,fuzzy
244,cluster_only,cluster_size_le5,1.0,100.0,exact
245,fuzzy_only,score_82_90,,89.41176470588236,fuzzy
246,fuzzy_only,score_90_100,,96.2962962962963,fuzzy
247,agreement,agreement,,88.0,fuzzy
248,fuzzy_only,score_82_90,,86.95652173913044,fuzzy
249,cluster_only,cluster_size_le5,4.0,100.0,exact
250,fuzzy_only,score_90_100,,98.18181818181819,fuzzy
