pair_id,r_case_number,c_case_number,r_company_name,c_company_name,r_state,r_city,c_state,c_city,r_date_filed,r_date_closed,c_date_filed,label,notes
21,26-RC-007798,26-CA-017353,"MOTORENT, INC. D/B/A AVIS RENT-A-CAR",AVIS RENT A CAR,TN,MEMPHIS,TN,MEMPHIS,22/02/1996,08/04/1996,25/03/1996,match,
22,22-RC-163313,22-CA-164887,"FERGUSON ENTERPRISES NY -- METRO, INC.","FERGUSON ENTERPRISES NY-METRO, INC.",NJ,Secaucus,NJ,Secaucus,04/11/2015,22/01/2016,23/11/2015,match,
23,03-RC-009043,03-CA-013714,CANTEEN COMPANY (DIV. OF T.W. SERVICE),CANTEEN COMPANY (DIVISION OF T.W. SERVICE,NY,BUFFALO,NY,BUFFALO,16/03/1987,23/07/1987,18/03/1987,match,
24,13-RC-021692,13-CA-044465,"HA Industries, a Division of A","HA Industries, a Division of A.M. Castle & Company",IN,Hammond,IN,Hammond,01/11/2007,13/11/2008,27/12/2007,match,
25,01-RC-017622,01-CA-022259,WORKROOM FOR DESIGNERS  INC.,"KITTERY POINT LTD., INC. (FOR. WORKROOM FOR DESIGN",MA,PITTSFIELD,MA,PITTSFIELD,20/04/1982,06/05/1985,02/08/1984,match,
26,04-RC-017914,04-CA-021585,PASCAL AND ALLIED AIR FORCE,PASCAL AND ALLIED AIR FORCE D/B/A BOULEVA,PA,ALLENTOWN,PA,ALLENTOWN,17/08/1992,28/12/1994,02/04/1993,match,
27,22-RC-012069,22-CA-024539,B&B Trucking Co.,B & B Trucking Co.,NJ,Passaic,NJ,Passsic,05/04/2001,09/08/2001,30/04/2001,match,
28,04-RC-019810,04-CA-028750,Starwood d/b/a Westin Suites H,Starwood d/b/a Westin Suites Hotel,PA,Philadelphia,PA,Philadelphia,12/10/1999,02/12/1999,15/11/1999,match,
29,02-RC-133742,02-CA-134833,Bronx Addiction Services (BASICS),Bronx Addiction Services,NY,Bronx,NY,Bronx,31/07/2014,18/08/2014,18/08/2014,match,
30,22-RC-012337,22-CA-025781,Pyromax,"Pyomax, Inc.",NJ,Wall,NJ,Wall,06/05/2003,16/05/2003,16/05/2003,match,
31,29-RC-007814,29-CA-016074,ANHEUSER-BUSCH,ANHEUSER/BUSCH DIST. (FREUND),NY,LONG ISLAND CIT,NY,LONG ISLAND CIT,29/04/1991,10/06/1992,29/10/1991,match,
32,12-RC-008890,12-CA-022844,"Ordevco, LLC DBA Radisson Reso","Radisson Resort, Ordevco, LLC",FL,Kissimmee,FL,Kissimmee,13/01/2003,29/12/2003,27/02/2003,match,
33,24-RC-008213,24-CA-009580,"City Stationery, Inc.         ","City Stationary, Inc.",PR,Caguas,PR,Caguas,22/10/2001,10/11/2003,30/04/2003,match,
34,31-RC-175375,31-CA-178316,"DTG Operations, Inc","DTG, Inc",CA,Inglewood,CA,Inglewood,03/05/2016,25/01/2017,14/06/2016,match,
35,19-RC-011680,19-CA-019524,TOWER INN RESTAURANT,"KEGLER, INC. D/B/A TOWER INN RESTAURANT",WA,TACOMA,WA,TACOMA,30/10/1987,17/12/1987,27/11/1987,match,
36,27-RC-008111,27-CA-017402,"Shore-Form, Inc.","Shor-Form, Inc.",UT,Bluffdale,UT,Bluffdale,13/04/2001,10/10/2001,19/04/2001,match,
37,02-RC-130192,02-CA-132934,New York Presbyterian Hospital,NY Presbyterian Hospital,NY,NEW YORK,NY,New York,06/06/2014,25/07/2014,16/07/2014,match,
38,22-RC-011718,22-CA-023261,Mid-States Packaging & Distrib,Mid-State Packaging,NJ,Jersey City,NJ,Jersey City,01/04/1999,25/02/2000,07/04/1999,match,
39,20-RC-016370,20-CA-022921,MENLO HONDA,TUDOR ENTERPRISES INC. D/B/A MENLO HONDA,CA,REDWOOD CITY,CA,REDWOOD CITY,06/03/1989,28/11/1989,02/10/1989,match,
40,15-RC-007902,15-CA-013245,HEBERT BROTHERS ENGINEERING CO. AND ITS ALTER EGO,"HEBERT BROTHERS ENGINEERING COMPANY, ET AL.",LA,PLAQUEMINE,LA,PLAQUEMINE,21/04/1995,29/08/1995,02/06/1995,match,
41,05-RC-015706,05-CA-031941,M V Transportation            ,MV Transportation,VA,Norfolk,VA,Norfolk,06/04/2004,25/05/2004,24/05/2004,match,
42,28-RC-005148,28-CA-013126,SANTA FE HOTEL & CASINO,SAHARA HOTEL AND CASINO,NV,LAS VEGAS,NV,LAS VEGAS,08/07/1993,28/08/1995,19/05/1995,no_match,
43,32-RC-005152,32-CA-021027,BCI Coca-Cola Bottling Company,Coca Cola Bottling Company,CA,Union City,CA,Union City,09/05/2003,22/07/2004,06/11/2003,match,
44,29-RC-011317,29-CA-027612,AC Moore (location 98)        ,A.C. Moore Inc,NY,Carle Place,NY,Carle Place,08/03/2006,30/08/2006,01/05/2006,match,
45,06-RC-011509,06-CA-029661,"RICHFOOD OF PENNSYLVANIA; DBA SUPER RITE FOODS, IN",RICHFOOD OF PA,PA,HARRISBURG,PA,HARRISBURG,03/03/1998,17/11/1998,19/03/1998,match,
46,09-RC-018016,09-CA-042270,APPALACHIAN PRECISION HARDWOOD,"APPALACHIAN PRECISION HARDWOODS, LLC",WV,Holden,WV,Holden,05/07/2005,15/09/2005,24/08/2005,match,
47,11-RC-005372,11-CA-012157,"MAGLA PRODUCTS, INC.",MALGA PRODUCTS,NC,MOORESVILLE,NC,MOORESVILLE,12/08/1986,19/08/1987,09/10/1986,match,
48,28-RC-005148,28-CA-012117,SANTA FE HOTEL & CASINO,SANDS HOTEL AND CASINO,NV,LAS VEGAS,NV,LAS VEGAS,08/07/1993,28/08/1995,29/07/1993,no_match,
49,22-RC-010432,22-CA-018485,KING MANOR CARE CENTER,KING MANOR CARE CENTER & HEALTHCARE SVC.,NJ,NEPTUNE,NJ,NEPTUNE,14/02/1991,05/08/1992,21/05/1992,match,
50,26-RC-006862,26-CA-011863,"CON AGRA, INC., D/B/A COUNTRY SKILLET CATFISH","COUNTRY SKILLET CATFISH DBA, CON AGRA, INC.",MS,ISOLA,MS,ISOLA,12/06/1986,20/08/1987,27/10/1986,match,
51,32-RC-002870,32-CA-010271,KMST-TV AKA RETLAW BROADCASTING,RETLAW BROADCASTING CO. DBA KMST-TV,CA,MONTEREY,CA,MONTEREY,28/02/1989,18/12/1989,06/04/1989,match,
52,07-RC-018797,07-CA-028609,DETROIT EDISON (RIVER ROUGE),MICHIGAN CONSOLIDATED GAS CO.,MI,DETROIT,MI,DETROIT,30/09/1988,12/12/1988,03/11/1988,match,
53,04-RC-018088,04-CA-021835,CAESARS BOARDWALK REGENCY CORP.,BOARDWALK REGENCY CORPORATION (CAESARS ATLANTIC CI,NJ,ATLANTIC CITY,NJ,ATLANTIC CITY,07/04/1993,18/05/1995,29/06/1993,match,
54,02-RC-023231,02-CA-038515,Jonis Realty Management,Janis Realty Management Inc.,NY,Great Neck,NY,Great Neck,31/10/2007,07/11/2007,05/11/2007,match,
55,32-RC-001809,32-CA-005733,K.C. METAL PRODUCTS,K. C. METAL PRODUCTS,CA,SAN JOSE,CA,SAN JOSE,13/04/1983,10/02/1984,22/07/1983,match,
56,22-RC-012316,22-CA-025680,Taranto Bus d/b/a First Studen,First Student Bus Company,NJ,Englewood,NJ,Englewood,11/03/2003,03/06/2003,21/03/2003,match,
57,04-RC-020640,04-CA-032279,MC of a (Mail Contractors of A,Mail Contractors of America,PA,Philadelphia,PA,Philadelphia,15/04/2003,20/08/2003,09/07/2003,match,
58,21-RC-020220,21-CA-034087,"Sunglass Products, Inc. d/b/a ","Personal Optics AKA Style Eyes of California Vision, Sun Glass",CA,Fullerton,CA,Fullerton,05/06/2000,09/08/2000,14/07/2000,unclear,
59,13-RC-017764,13-CA-028759,CHICAGO BULLETPROOF EQUIPMENT CO.,"CHICAGO BULLET PROOF EQUIPMENT COMPANY, INC.",IL,PARK FOREST,IL,PARK FOREST,11/05/1989,11/07/1989,11/07/1989,match,
60,10-RC-014423,10-CA-027687,KMART DISTRIBUTION CENTER,K-MART DISTRIBUTION,GA,NEWMAN,GA,NEWMAN,08/09/1993,12/10/1994,13/06/1994,match,
61,04-RC-020592,04-CA-031912,Bally's Park Place Hotel Casino,Ballys Park Place Atlantic City,NJ,Atlantic City,NJ,Atlantic City,18/12/2002,14/02/2003,14/02/2003,match,
62,25-RC-009835,25-CA-026675,"Niblock Excavating, Inc.","Niblock Excavating, Inc. (Blocking)",IN,Bristol,IN,Bristol,08/02/1999,30/09/2009,30/07/1999,match,
63,21-RC-017586,21-CA-023938,UNIGORM PRINGTING AND SUPPLY,UNIFORM PRINTING & SUPPLY  INC.,CA,MONTEBELLO,CA,MONTEBELLO,01/04/1985,24/06/1985,21/05/1985,match,
64,22-RC-009853,22-CA-015426,ST. MARY'S HOSPITAL - ORANGE,ST. MARY'S HOSPITAL,NJ,ORANGE,NJ,ORANGE,30/09/1987,10/07/1989,17/12/1987,match,
65,24-RC-081423,24-CA-082812,Suiza Dairy Corp.,Suiza Diary Corporation,PR,San Juan,PR,San Juan,21/05/2012,08/08/2012,11/06/2012,match,
66,36-RC-005825,36-CA-008120,"KUNI BMW L.L. CO., SUB. OF KUNI ENTERPRISES","KUNI CADILLAC & BMW, LLC (KUNI ENTERPRISES)",OR,BEAVERTON,OR,BEAVERTON,13/11/1997,13/10/1998,21/11/1997,match,
67,13-RC-019356,13-CA-034293,KRONOS CENTRAL,KRONOS CENTRAL PRODUCTS,IL,CHICAGO,IL,CHICAGO,30/04/1996,31/07/1996,08/05/1996,match,
68,28-RC-006612,28-CA-021984,"IAP World Services, Inc.      ","IAP Worldwide Services, Inc.",TX,El Paso,TX,El Paso,23/06/2008,07/08/2008,23/06/2008,match,
69,02-RC-141261,02-CA-158350,"Hippodrome Services Corp., a/k/a Formula 1","Hippodrome Services, Corp.",NY,Bronx,NY,Bronx,20/11/2014,14/06/2016,19/08/2015,match,
70,32-RC-158884,32-CA-168074,"The Permanente Medical Group, Inc.","Kaiser Foundation Health Plan, Inc.; Kaiser Foundation Hospitals; The Permanente Medical Group, Inc.",CA,Oakland,CA,Oakland,27/08/2015,18/04/2017,20/01/2016,match,
71,02-RC-020962,29-CA-015986,HEALTH FORCE,HEALTH FORCE (MARK),NY,BROOKLYN,NY,BROOKLYN,11/10/1990,17/08/1992,19/09/1991,match,
72,20-RC-016740,20-CA-024187,ST. CLAIRE NURSING CENTER,ST CLAIRE'S NURSING HOME,CA,SACRAMENTO,CA,SACRAMENTO,22/07/1991,13/11/1991,20/08/1991,match,
73,27-RC-005914,27-CA-007853,ST. ANTHONY HOSPITAL SYSTEMS,ST. ANTHONY'S HOSPITAL SYSTEMS,CO,DENVER,CO,DENVER,04/09/1979,24/09/1985,12/05/1982,match,
74,08-RC-015554,08-CA-029259,AGRIGENERAL,AGRIGENERAL (II),OH,MOUNT VICTORY,OH,MOUNT VICTORY,06/05/1997,16/09/1998,15/08/1997,match,
75,05-RC-013547,05-CA-021814,"HARVEY'S GROVE, INC. D/B/A HARVEY'S RESTAURANT",HARVEY'S RESTAURANT,MD,ROCKVILLE,MD,ROCKVILLE,25/01/1991,20/12/1991,08/03/1991,match,
76,16-RC-184393,16-CA-185231,"T.L. ELECTRIC, INC.","T. L. ELECTRIC, INC.",TX,CORPUS CHRISTI,TX,Corpus Christi,15/09/2016,17/08/2017,19/09/2016,match,
77,23-RC-005065,23-CA-008995,FIBER GLASS SYSTEMS INC.,"FIBERGLASS SYSTEMS, INCORPORATED",TX,SAN ANTONIO,TX,SAN ANTONIO,08/03/1982,23/11/1987,26/07/1982,match,
78,31-RC-005783,31-CA-014649,IDEA TOOLING ENGINEERING INC.,ITE IDEA TOOLING ENGINEERING,CA,INGLEWOOD,CA,INGLEWOOD,07/11/1984,28/12/1984,09/11/1984,match,
79,04-RC-020221,04-CA-030802,Wyoming Valley Health Care Sys,Wyoming Valley Health Care System - Hospital,PA,Plains,PA,Plains,29/05/2001,16/09/2003,24/10/2001,match,
80,33-RC-003685,33-CA-009585,LIFECARE CENTERS OF IL DBA WOODLAND NURSING CENTER,WOODLAND NURSING CENTER DIV. OF LIFE CARE CENTERS,IL,MT. ZION,IL,MT. ZION,03/09/1991,16/12/1991,21/10/1991,match,
81,26-RC-008047,26-CA-018916,HAVERTY'S -- WAREHOUSE,HAVERTY'S WAREHOUSE (1),TN,LA VERGNE,TN,LA VERGNE,14/10/1998,14/12/1998,17/11/1998,match,
82,29-RC-007854,29-CA-015917,NATIONAL MANAGEMENT CONSUL.,"NATIONAL MANAGEMENT CONSULTANTS,INC. (MED",NY,BROOKLYN,NY,BROOKLYN,10/07/1991,21/10/1991,14/08/1991,match,
83,08-RC-013704,08-CA-020532,"HANOVER HOUSE, INC.",HANOVER HOUSE NURSING HOME,OH,MASSILLON,OH,MASSILLON,07/10/1987,11/12/1987,09/11/1987,match,
84,25-RC-009440,25-CA-023951,TELEDYNE CASTING,TELEDYNE CASTING SERVICE INC.,IN,LA PORTE,IN,LA PORTE,16/12/1994,12/09/1996,24/05/1995,match,
85,07-RC-021418,07-CA-041715,SCHULTZ CONSTRUCTION,SCHULTZ CORPORATION,MI,SAGINAW,MI,SAGINAW,17/09/1998,03/06/1999,26/01/1999,match,
86,04-RC-018564,04-CA-025580,York Terrace Nursing Home     ,Beverly d/b/a York Terrace Nursing Home,PA,Pottsville,PA,Pottsville,27/02/1995,21/05/2004,30/12/1996,match,
87,10-RC-014427,10-CA-027084,EUROPEAN BAKERIES,"EUROPEAN BKERS, LTD",GA,TUCKER,GA,TUCKER,13/09/1993,15/11/1993,08/10/1993,match,
88,07-RC-018309,07-CA-026918,"RESPONSIVE SERVICES, INC.","RESPONSE SERVICES, INC.",MI,DEARBORN,MI,DEARBORN,04/03/1987,21/05/1987,30/04/1987,match,
89,09-RC-016332,09-CA-040621,"Norton Healthcare, Inc. d/b/a ","NORTON HEALTHCARE INC., D/B/A AUDUBON, NORTON, SUBURBAN, SOUTHWEST, KOSSAIR CHILDRENS HOSPITALS",KY,Louisville,KY,Louisville,06/01/1994,12/03/2009,17/10/2003,match,
90,32-RC-005203,32-CA-021046,"Child, Family and Community Se","Child, Family and Community Services, Inc.",CA,Fremont,CA,Fremont,31/10/2003,11/02/2004,17/11/2003,match,
91,05-RC-013871,05-CA-023541,"TLC BALTO. AMBULANCE & OXYGEN SERV., INC. & CHARM","TLC BALTIMORE AMBULANCE & OXYGEN SERVICE, INC.",MD,BALTIMORE,MD,BALTIMORE,01/04/1993,04/06/1993,13/05/1993,match,
92,28-RC-006089,28-CA-018058,Indian Educators Federation/AF,Indian Educators Federation/AFT,NM,Albuquerque,NM,Albuquerque,12/06/2002,09/10/2002,15/07/2002,match,
93,10-RC-012727,10-CA-020007,THE ATLANTA HILTON & TOWERS.,ATLANTA HILTON & TOWER,GA,ATLANTA,GA,ATLANTA,26/01/1983,25/09/1985,15/02/1984,match,
94,10-RC-014833,10-CA-030537,"NORTH AMERICAN ROYALTIES, WHELAND FOUNDRY","NORTH AMERICAN ROYALTIES, INC. WHELAND FOUNDRY [2]",GA,WARRENTON,GA,WARRENTON,15/08/1997,25/02/1998,26/09/1997,match,
95,10-RC-015722,10-CA-037572,"Mail Contractors of America, I",Mail Contractors of America,GA,Atlanta,GA,Atlanta,10/10/2008,17/12/2008,21/10/2008,match,
96,29-RC-007760,29-CA-015571,APRA FUEL/PRUDENTIAL TRANSP/AMER. NATIONAL SERVICE,"APRA Fuel Oil Buyers Group, Inc. et al.",NY,BROOKLYN,NY,BROOKLYN,26/12/1990,09/12/1992,11/03/1991,match,
97,34-RC-001365,34-CA-007414,CONVALSCENT CENTER OF NORWICH,CONVALESCENT CENTER OF NORWICH,CT,NORWICH,CT,NORWICH,03/10/1995,17/01/1997,22/02/1996,match,
98,25-RC-008868,25-CA-020537,"JC ELECTRIC, INC.","J C ELECTRIC, INC.",IN,INDIANAPOLIS,IN,INDIANAPOLIS,23/03/1990,27/04/1990,03/04/1990,match,
99,06-RC-011488,06-CA-029755,INDIANA HOSPITAL,"INDIANA HOSPITAL, INC., SUBSID INDIANA HEALTH CARE",PA,INDIANA,PA,INDIANA,08/01/1998,30/09/1998,04/05/1998,match,
100,32-RC-005443,32-CA-022748,Pacific Coast M.S. Industries ,"Pacific Coast Industries, Inc.",CA,Tracy,CA,Tracy,20/06/2006,09/11/2010,19/07/2006,match,
101,10-RC-015125,10-CA-032404,"Stellar Contracting, Inc.","Stellar Construction, Inc.",GA,Dunwoody,GA,Dunwoody,20/04/2000,22/10/2003,09/05/2000,match,
102,08-RC-015410,08-CA-028590,St. Francis Health Care Center,SAINT FRANCIS HEALTH CARE CENTER (III),OH,Green Springs,OH,GREEN SPRINGS,16/07/1996,11/12/2001,10/10/1996,match,
103,34-RC-067645,34-CA-069737,American Medical Response,American Medical Response/EMSC,CT,West Hartford,CT,West Hartford,27/10/2011,04/01/2012,29/11/2011,match,
104,09-RC-018037,09-CA-042597,DELMAS CONLEY D/B/A CONLEY TRUCKING,CONLEY TRUCKING,OH,Portsmouth,OH,Portsmouth,31/10/2005,13/05/2009,25/01/2006,match,
105,31-RC-008744,31-CA-029410,Crothall/Tarzana Medical Cente,Tarzana Medical Center,CA,Tarzana,CA,Tarzana,23/02/2009,20/04/2010,04/09/2009,match,
106,25-RC-007984,25-CA-016154,"ROBETSON TRANSFORMER COMPANY OF INDIANA, INC",ROBERTSON TRANSFORMER COMPANY OF INDIANA,IN,ROCHESTER,IN,ROCHESTER,05/12/1983,06/02/1984,23/01/1984,match,
107,04-RC-016100,04-CA-015579,SAVE A LOT,SAV A LOT,NJ,PENNSAUKEN,NJ,PENNSAUKEN,19/11/1985,07/03/1986,31/01/1986,match,
108,05-RC-013431,05-CA-021206,AIRPAX CORPORATION,AIRPAX CAMBRIDGE DIVISION,MD,CAMBRIDGE,MD,CAMBRIDGE,09/05/1990,31/07/1990,23/05/1990,match,
109,32-RC-005605,31-CA-029044,American Medical Response West,American Medical Response/EMSC,CO,Greenwood Village,CO,Greenwood Village,02/12/2008,21/01/2009,30/12/2008,match,
110,25-RC-008002,25-CA-016403,ALMA PLASTICS CO.,ALMA PLASTIC COMPANY,IN,EDINBURG,IN,EDINBURG,24/01/1984,24/05/1985,04/05/1984,match,
111,33-RC-003536,13-CA-030036,"J. PEASE CONSTRUCTION CO., INC.","PEASE CONSTRUCTION CO., INC.",IL,RICHMOND,IL,RICHMOND,28/03/1990,08/03/1991,13/02/1991,match,
112,30-RC-006035,13-CA-037293,"Adams Classic Builders, Inc. Adams Stair Works & Carpentry, Inc.","ADAMS STAIR WORKS & CARPENTRY, INC.",IL,Grayslake,IL,GRAYS LAKE,20/08/1998,02/02/2001,31/08/1998,match,
113,18-RC-272212,18-CA-290159,"Colectivo Coffee Roasters, Inc",Colectivo Coffee,WI,Milwaukee,WI,Milwaukee,03/02/2021,24/03/2022,04/02/2022,match,
114,10-RC-014074,10-CA-025360,BLUE STAR READY MIX CO.,BLUE STAR READY-MIX CONCRETE CORPORATION,AL,RUSSELLVILLE,AL,RUSSELLVILLE,23/11/1990,30/10/1991,07/06/1991,match,
115,01-RC-020793,01-CA-036207,VILLAGE MANOR NURSING HOME,VILLAGE MAOR NURSING HOME,MA,HYDE PARK,MA,HYDE PARK,11/03/1998,05/05/1998,17/04/1998,match,
116,08-RC-014229,08-CA-022351,BARBERTON STEEL IRON COMPANY,BARBERTON STEEL AND IRON COMPANY,OH,BARBERTON,OH,BARBERTON,15/12/1989,20/02/1990,05/01/1990,match,
117,05-RC-013449,05-CA-021991,"HARRELL & HARRELL, INC. D/B/A BE-LO STORES","HARRELL AND HARRELL, INC. D/B/A BE-LO STO",VA,NORFOLK,VA,NORFOLK,12/06/1990,24/12/1991,24/05/1991,match,
118,16-RC-009049,16-CA-013608,"BAYOU CONTRACTING, INC.",BAYOU CONSTRUCTION COMPANY,TX,BEAUMONT,TX,BEAUMONT,08/06/1988,20/07/1988,22/06/1988,match,
119,26-RC-007569,26-CA-015758,HOWE K. SIPES CO.,"SIPES, HOWE K.",TN,MEMPHIS,TN,MEMPHIS,27/07/1993,20/09/1993,30/08/1993,match,
120,01-RC-019734,01-CA-028846,"AAA MAINTENCE CO., INC.",AAA MAINTENANCE,MA,S WEYMOUTH,MA,WEYMOUTH,17/10/1991,19/02/1993,04/11/1991,match,
121,26-RC-006731,26-CA-011064,"BEVERLY ENTERPRISES,D/B/A ALLENBROOKE NURSING HOME","ALLENBROOKE NURSING HOME, BEVERLY ENT'S, D/B/A",TN,MEMPHIS,TN,MEMPHIS,29/11/1984,18/06/1985,21/03/1985,match,
122,10-RC-014407,10-CA-027551,"SYLVEST POULTRY, INC.","SYLVEST FARMS, INC.",AL,SYLACAUGA,AL,SYLACAUGA,09/07/1993,04/10/1994,20/04/1994,match,
123,17-RC-010587,17-CA-015415,"HARBERT CONSTRUCTION CO, A DIV OF HARBERT INT'L,IN","HARBERT INTERNATIONAL, INC.",MO,FT LEONARD WOOD,MO,FT LEONARD WOOD,17/10/1990,17/04/1991,22/01/1991,match,
124,06-RC-010921,06-CA-026823,UNIVERSITY OF PITTSBURGH MEDICAL CNTR; DBA PRESBYE,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,PA,PITTSBURGH,PA,PITTSBURGH,09/07/1993,31/01/1995,04/11/1994,match,
125,31-RC-008407,31-CA-027901,American Medical Response     ,American Medical Response - Glendale,CA,Torrance,CA,Torrance,30/06/2004,02/10/2006,12/07/2006,match,
126,18-RC-016430,18-CA-015143,"MOREAU-GRAND ELECTRIC COOPERATIVE, INC.",MOREAU GRAND ELECTRIC COOPERATIVE,SD,TIMERLAKE,SD,TIMBERLAKE,22/02/1999,13/04/1999,12/03/1999,match,
127,13-RC-019010,13-CA-032894,WEB FINISHERS BINDERY,WEB FINISHERS,IL,ELK GROVE VILL.,IL,ELK GROVE VILL.,06/10/1994,25/01/1995,12/10/1994,match,
128,07-RC-019573,07-CA-033366,OMNI INTERNATIONAL HOTEL - DETROIT,OMNI HOTEL INTERNATIONAL,MI,DETROIT,MI,DETROIT,22/04/1991,14/06/1991,08/06/1991,match,
129,14-RC-010338,14-CA-019480,"LESSIE BATES DAVIS NEIGHBORHOOD HOUSE, INC.","LESSIE BATES DAVIS NEIGHBORHOOD HOUSE, IN",IL,E. ST. LOUIS,IL,E. ST. LOUIS,07/03/1988,12/07/1988,03/05/1988,match,
130,24-RC-007742,24-CA-007576,"SJPR, INC., DBA SANDS HOTEL AND CASINO",SANDS HOTEL AND CASINO,PR,SAN JUAN,PR,SAN JUAN,10/08/1995,26/12/1996,04/12/1996,match,
131,10-RC-246475,10-CA-256215,Kumho Tires,Kumho Tire Georgia,GA,Macon,GA,Macon,13/08/2019,30/04/2021,11/02/2020,match,
132,12-RC-007599,12-CA-015978,SUNRISE REHAB HOSP,SUNRISE REHAB. HOSPITAL,FL,SUNRISE,FL,SUNRISE,09/03/1993,19/03/1996,10/01/1994,match,
133,31-RC-006862,31-CA-019264,"GRIMMWAY FROZEN FOODS; AKA GRIMMWAY FARMS, INC.","GRIMMWAY FARMS, INC., GRIMMWAY FROZEN FOO",CA,ARVIN,CA,ARVIN,04/09/1991,09/07/1997,27/02/1992,match,
134,30-RC-005250,30-CA-011580,"AMERICA'S BEST QUALITY COATINGS:STAFF RIGHT, INC.","AMERICA'S BEST QUALITY/STAFF RIGHT, INC.",WI,MILWAUKEE,WI,MILWAUKEE,18/04/1991,06/01/1994,05/11/1991,match,
135,12-RC-008925,12-CA-023161,IBC Holsum Bakery             ,IBC Holsum,FL,West Palm Beach,FL,West Palm Beach,12/05/2003,21/07/2003,01/07/2003,match,
